No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,基礎理論,基礎理論,平成21年春期 問1,2021/8/14
2,○,テクノロジ系,基礎理論,基礎理論,平成21年春期 問2,2021/8/14
3,×,テクノロジ系,基礎理論,基礎理論,平成21年春期 問3,2021/8/14
4,×,テクノロジ系,基礎理論,基礎理論,平成21年春期 問4,2021/8/14
5,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成21年春期 問5,2021/8/14
6,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成21年春期 問6,2021/8/14
7,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成21年春期 問7,2021/8/14
8,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成21年春期 問8,2021/8/14
9,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成21年春期 問9,2021/8/14
10,×,テクノロジ系,コンピュータシステム,ハードウェア,平成21年春期 問10,2021/8/14
11,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成21年春期 問11,2021/8/14
12,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成21年春期 問12,2021/8/14
13,×,テクノロジ系,コンピュータシステム,システム構成要素,平成21年春期 問13,2021/8/14
14,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成21年春期 問14,2021/8/14
15,○,テクノロジ系,コンピュータシステム,システム構成要素,平成21年春期 問15,2021/8/14
16,○,テクノロジ系,コンピュータシステム,システム構成要素,平成21年春期 問16,2021/8/14
17,×,テクノロジ系,コンピュータシステム,システム構成要素,平成21年春期 問17,2021/8/14
18,○,テクノロジ系,コンピュータシステム,ソフトウェア,平成21年春期 問18,2021/8/14
19,○,テクノロジ系,コンピュータシステム,ソフトウェア,平成21年春期 問19,2021/8/14
20,×,テクノロジ系,コンピュータシステム,ソフトウェア,平成21年春期 問20,2021/8/14
21,×,テクノロジ系,コンピュータシステム,ソフトウェア,平成21年春期 問21,2021/8/14
22,×,テクノロジ系,コンピュータシステム,ソフトウェア,平成21年春期 問22,2021/8/14
23,×,テクノロジ系,コンピュータシステム,ソフトウェア,平成21年春期 問23,2021/8/14
24,×,テクノロジ系,コンピュータシステム,ハードウェア,平成21年春期 問24,2021/8/14
25,○,テクノロジ系,コンピュータシステム,ハードウェア,平成21年春期 問25,2021/8/14
26,×,テクノロジ系,技術要素,ヒューマンインタフェース,平成21年春期 問26,2021/8/14
27,×,テクノロジ系,技術要素,ヒューマンインタフェース,平成21年春期 問27,2021/8/14
28,○,テクノロジ系,技術要素,ヒューマンインタフェース,平成21年春期 問28,2021/8/14
29,×,テクノロジ系,技術要素,データベース,平成21年春期 問29,2021/8/14
30,○,テクノロジ系,技術要素,マルチメディア,平成21年春期 問30,2021/8/14
31,×,テクノロジ系,技術要素,データベース,平成21年春期 問31,2021/8/14
32,×,テクノロジ系,技術要素,データベース,平成21年春期 問32,2021/8/14
33,×,テクノロジ系,技術要素,データベース,平成21年春期 問33,2021/8/14
34,○,テクノロジ系,技術要素,データベース,平成21年春期 問34,2021/8/14
35,×,テクノロジ系,技術要素,データベース,平成21年春期 問35,2021/8/14
36,×,テクノロジ系,技術要素,ネットワーク,平成21年春期 問36,2021/8/14
37,○,テクノロジ系,技術要素,ネットワーク,平成21年春期 問37,2021/8/14
38,○,テクノロジ系,技術要素,ネットワーク,平成21年春期 問38,2021/8/14
39,×,テクノロジ系,技術要素,ネットワーク,平成21年春期 問39,2021/8/14
40,×,テクノロジ系,技術要素,セキュリティ,平成21年春期 問40,2021/8/14
41,○,テクノロジ系,技術要素,セキュリティ,平成21年春期 問41,2021/8/14
42,×,テクノロジ系,技術要素,セキュリティ,平成21年春期 問42,2021/8/14
43,○,テクノロジ系,技術要素,セキュリティ,平成21年春期 問43,2021/8/14
44,○,テクノロジ系,開発技術,システム開発技術,平成21年春期 問44,2021/8/14
45,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,平成21年春期 問45,2021/8/14
46,○,テクノロジ系,開発技術,システム開発技術,平成21年春期 問46,2021/8/14
47,×,テクノロジ系,開発技術,システム開発技術,平成21年春期 問47,2021/8/14
48,×,テクノロジ系,開発技術,システム開発技術,平成21年春期 問48,2021/8/14
49,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,平成21年春期 問49,2021/8/14
50,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,平成21年春期 問50,2021/8/14
51,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成21年春期 問51,2021/8/14
52,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成21年春期 問52,2021/8/14
53,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成21年春期 問53,2021/8/14
54,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成21年春期 問54,2021/8/14
55,○,マネジメント系,サービスマネジメント,サービスマネジメント,平成21年春期 問55,2021/8/14
56,×,マネジメント系,サービスマネジメント,サービスマネジメント,平成21年春期 問56,2021/8/14
57,×,マネジメント系,サービスマネジメント,サービスマネジメント,平成21年春期 問57,2021/8/14
58,×,マネジメント系,サービスマネジメント,システム監査,平成21年春期 問58,2021/8/14
59,○,マネジメント系,サービスマネジメント,システム監査,平成21年春期 問59,2021/8/14
60,×,マネジメント系,サービスマネジメント,システム監査,平成21年春期 問60,2021/8/14
61,○,ストラテジ系,システム戦略,システム戦略,平成21年春期 問61,2021/8/14
62,×,ストラテジ系,システム戦略,システム戦略,平成21年春期 問62,2021/8/14
63,×,ストラテジ系,企業と法務,企業活動,平成21年春期 問63,2021/8/14
64,○,ストラテジ系,システム戦略,システム戦略,平成21年春期 問64,2021/8/14
65,○,ストラテジ系,システム戦略,システム企画,平成21年春期 問65,2021/8/14
66,○,ストラテジ系,システム戦略,システム企画,平成21年春期 問66,2021/8/14
67,×,ストラテジ系,システム戦略,システム企画,平成21年春期 問67,2021/8/14
68,○,ストラテジ系,経営戦略,経営戦略マネジメント,平成21年春期 問68,2021/8/14
69,×,ストラテジ系,経営戦略,経営戦略マネジメント,平成21年春期 問69,2021/8/14
70,×,ストラテジ系,経営戦略,経営戦略マネジメント,平成21年春期 問70,2021/8/14
71,○,ストラテジ系,経営戦略,技術戦略マネジメント,平成21年春期 問71,2021/8/14
72,○,ストラテジ系,システム戦略,システム戦略,平成21年春期 問72,2021/8/14
73,○,ストラテジ系,経営戦略,ビジネスインダストリ,平成21年春期 問73,2021/8/14
74,○,ストラテジ系,経営戦略,ビジネスインダストリ,平成21年春期 問74,2021/8/14
75,○,ストラテジ系,経営戦略,経営戦略マネジメント,平成21年春期 問75,2021/8/14
76,○,ストラテジ系,企業と法務,企業活動,平成21年春期 問76,2021/8/14
77,×,ストラテジ系,企業と法務,企業活動,平成21年春期 問77,2021/8/14
