No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,ストラテジ系,経営戦略,ビジネスインダストリ,平成23年秋期 問74,2021/9/3
2,○,テクノロジ系,技術要素,マルチメディア,平成23年秋期 問30,2021/9/3
3,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年秋期 問13,2021/9/3
4,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年秋期 問14,2021/9/3
5,×,テクノロジ系,技術要素,ネットワーク,平成23年秋期 問40,2021/9/3
6,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成23年秋期 問53,2021/9/3
7,×,テクノロジ系,開発技術,システム開発技術,平成23年秋期 問45,2021/9/3
8,×,テクノロジ系,技術要素,セキュリティ,平成23年秋期 問42,2021/9/3
9,○,ストラテジ系,企業と法務,法務,平成23年秋期 問79,2021/9/3
10,×,テクノロジ系,技術要素,データベース,平成23年秋期 問33,2021/9/3
11,×,ストラテジ系,システム戦略,システム戦略,平成23年秋期 問62,2021/9/3
12,○,ストラテジ系,企業と法務,企業活動,平成23年秋期 問75,2021/9/3
13,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成23年秋期 問54,2021/9/3
14,○,テクノロジ系,コンピュータシステム,システム構成要素,平成23年秋期 問15,2021/9/3
15,×,ストラテジ系,システム戦略,システム戦略,平成23年秋期 問63,2021/9/3
16,○,ストラテジ系,システム戦略,システム戦略,平成23年秋期 問67,2021/9/3
17,○,ストラテジ系,システム戦略,システム企画,平成23年秋期 問66,2021/9/3
18,○,テクノロジ系,コンピュータシステム,ソフトウェア,平成23年秋期 問23,2021/9/3
19,×,テクノロジ系,技術要素,データベース,平成23年秋期 問35,2021/9/3
20,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成23年秋期 問52,2021/9/3
21,○,テクノロジ系,コンピュータシステム,システム構成要素,平成23年秋期 問19,2021/9/3
22,×,テクノロジ系,基礎理論,基礎理論,平成23年秋期 問2,2021/9/3
23,○,テクノロジ系,技術要素,マルチメディア,平成23年秋期 問29,2021/9/3
24,×,テクノロジ系,技術要素,ヒューマンインタフェース,平成23年秋期 問28,2021/9/3
25,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年秋期 問12,2021/9/3
26,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年秋期 問25,2021/9/3
27,○,ストラテジ系,経営戦略,経営戦略マネジメント,平成23年秋期 問68,2021/9/3
28,○,ストラテジ系,企業と法務,企業活動,平成23年秋期 問72,2021/9/3
29,○,テクノロジ系,コンピュータシステム,ソフトウェア,平成23年秋期 問20,2021/9/3
30,○,マネジメント系,サービスマネジメント,システム監査,平成23年秋期 問60,2021/9/3
31,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年秋期 問8,2021/9/3
32,○,テクノロジ系,技術要素,データベース,平成23年秋期 問34,2021/9/3
33,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年秋期 問7,2021/9/3
34,○,テクノロジ系,基礎理論,基礎理論,平成23年秋期 問3,2021/9/3
35,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年秋期 問49,2021/9/3
36,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成23年秋期 問51,2021/9/3
37,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年秋期 問9,2021/9/3
38,×,テクノロジ系,技術要素,データベース,平成23年秋期 問31,2021/9/3
39,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年秋期 問10,2021/9/3
40,○,ストラテジ系,システム戦略,システム企画,平成23年秋期 問65,2021/9/3
41,○,テクノロジ系,技術要素,セキュリティ,平成23年秋期 問43,2021/9/3
42,×,テクノロジ系,コンピュータシステム,システム構成要素,平成23年秋期 問17,2021/9/3
43,×,テクノロジ系,技術要素,セキュリティ,平成23年秋期 問41,2021/9/3
44,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年秋期 問27,2021/9/3
45,×,マネジメント系,サービスマネジメント,サービスマネジメント,平成23年秋期 問55,2021/9/3
46,○,テクノロジ系,基礎理論,基礎理論,平成23年秋期 問4,2021/9/3
47,×,テクノロジ系,開発技術,システム開発技術,平成23年秋期 問48,2021/9/3
48,×,ストラテジ系,企業と法務,企業活動,平成23年秋期 問78,2021/9/3
49,×,テクノロジ系,技術要素,ネットワーク,平成23年秋期 問37,2021/9/3
50,×,ストラテジ系,企業と法務,企業活動,平成23年秋期 問61,2021/9/3
51,○,マネジメント系,サービスマネジメント,システム監査,平成23年秋期 問59,2021/9/3
52,○,テクノロジ系,技術要素,データベース,平成23年秋期 問32,2021/9/3
53,○,テクノロジ系,技術要素,ネットワーク,平成23年秋期 問39,2021/9/3
54,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年秋期 問5,2021/9/3
55,○,マネジメント系,サービスマネジメント,サービスマネジメント,平成23年秋期 問57,2021/9/3
56,○,テクノロジ系,コンピュータシステム,システム構成要素,平成23年秋期 問18,2021/9/3
57,×,テクノロジ系,技術要素,ネットワーク,平成23年秋期 問38,2021/9/3
58,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年秋期 問6,2021/9/3
59,○,ストラテジ系,企業と法務,企業活動,平成23年秋期 問77,2021/9/3
60,○,ストラテジ系,企業と法務,企業活動,平成23年秋期 問76,2021/9/3
61,×,テクノロジ系,コンピュータシステム,ハードウェア,平成23年秋期 問26,2021/9/3
62,×,テクノロジ系,コンピュータシステム,ハードウェア,平成23年秋期 問24,2021/9/3
63,×,テクノロジ系,基礎理論,基礎理論,平成23年秋期 問1,2021/9/3
64,○,ストラテジ系,システム戦略,システム戦略,平成23年秋期 問64,2021/9/3
65,×,ストラテジ系,企業と法務,法務,平成23年秋期 問80,2021/9/3
66,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年秋期 問21,2021/9/3
67,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年秋期 問11,2021/9/3
68,×,テクノロジ系,コンピュータシステム,ソフトウェア,平成23年秋期 問22,2021/9/3
69,×,マネジメント系,サービスマネジメント,システム監査,平成23年秋期 問58,2021/9/3
70,○,テクノロジ系,開発技術,システム開発技術,平成23年秋期 問46,2021/9/3
71,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,平成23年秋期 問50,2021/9/3
72,○,ストラテジ系,経営戦略,経営戦略マネジメント,平成23年秋期 問70,2021/9/3
73,×,ストラテジ系,経営戦略,技術戦略マネジメント,平成23年秋期 問71,2021/9/3
74,○,ストラテジ系,経営戦略,経営戦略マネジメント,平成23年秋期 問69,2021/9/3
75,×,ストラテジ系,企業と法務,企業活動,平成23年秋期 問73,2021/9/3
76,×,マネジメント系,サービスマネジメント,サービスマネジメント,平成23年秋期 問56,2021/9/3
77,○,テクノロジ系,技術要素,データベース,平成23年秋期 問36,2021/9/3
78,○,テクノロジ系,技術要素,セキュリティ,平成23年秋期 問44,2021/9/3
79,○,テクノロジ系,開発技術,システム開発技術,平成23年秋期 問47,2021/9/3
80,○,テクノロジ系,コンピュータシステム,システム構成要素,平成23年秋期 問16,2021/9/3
 ,,,,,,
