No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,技術要素,データベース,平成23年特別 問33,2021/8/31
2,○,テクノロジ系,コンピュータシステム,ソフトウェア,平成23年特別 問23,2021/8/31
3,○,ストラテジ系,経営戦略,ビジネスインダストリ,平成23年特別 問70,2021/8/31
4,×,テクノロジ系,技術要素,データベース,平成23年特別 問27,2021/8/31
5,×,テクノロジ系,コンピュータシステム,ソフトウェア,平成23年特別 問18,2021/8/31
6,○,ストラテジ系,システム戦略,システム企画,平成23年特別 問63,2021/8/31
7,×,ストラテジ系,システム戦略,システム戦略,平成23年特別 問62,2021/8/31
8,×,マネジメント系,サービスマネジメント,サービスマネジメント,平成23年特別 問55,2021/8/31
9,×,ストラテジ系,経営戦略,経営戦略マネジメント,平成23年特別 問66,2021/8/31
10,×,テクノロジ系,基礎理論,基礎理論,平成23年特別 問22,2021/8/31
11,×,テクノロジ系,基礎理論,基礎理論,平成23年特別 問1,2021/8/31
12,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年特別 問10,2021/8/31
13,○,テクノロジ系,技術要素,ネットワーク,平成23年特別 問40,2021/8/31
14,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,平成23年特別 問50,2021/8/31
15,○,ストラテジ系,企業と法務,法務,平成23年特別 問78,2021/8/31
16,○,テクノロジ系,コンピュータシステム,システム構成要素,平成23年特別 問19,2021/8/31
17,×,テクノロジ系,基礎理論,基礎理論,平成23年特別 問2,2021/8/31
18,×,テクノロジ系,コンピュータシステム,ハードウェア,平成23年特別 問25,2021/8/31
19,×,ストラテジ系,企業と法務,法務,平成23年特別 問79,2021/8/31
20,○,テクノロジ系,技術要素,セキュリティ,平成23年特別 問45,2021/8/31
21,×,テクノロジ系,技術要素,ネットワーク,平成23年特別 問41,2021/8/31
22,○,ストラテジ系,企業と法務,企業活動,平成23年特別 問76,2021/8/31
23,○,マネジメント系,サービスマネジメント,システム監査,平成23年特別 問60,2021/8/31
24,×,テクノロジ系,開発技術,システム開発技術,平成23年特別 問48,2021/8/31
25,×,ストラテジ系,経営戦略,ビジネスインダストリ,平成23年特別 問72,2021/8/31
26,○,ストラテジ系,企業と法務,法務,平成23年特別 問80,2021/8/31
27,○,ストラテジ系,経営戦略,ビジネスインダストリ,平成23年特別 問71,2021/8/31
28,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年特別 問7,2021/8/31
29,×,テクノロジ系,コンピュータシステム,ハードウェア,平成23年特別 問24,2021/8/31
30,○,テクノロジ系,技術要素,ネットワーク,平成23年特別 問36,2021/8/31
31,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成23年特別 問53,2021/8/31
32,×,テクノロジ系,コンピュータシステム,システム構成要素,平成23年特別 問17,2021/8/31
33,○,ストラテジ系,企業と法務,企業活動,平成23年特別 問67,2021/8/31
34,×,ストラテジ系,企業と法務,企業活動,平成23年特別 問77,2021/8/31
35,○,マネジメント系,サービスマネジメント,システム監査,平成23年特別 問59,2021/8/31
36,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年特別 問12,2021/8/31
37,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年特別 問14,2021/8/31
38,×,テクノロジ系,開発技術,システム開発技術,平成23年特別 問47,2021/8/31
39,○,ストラテジ系,システム戦略,システム企画,平成23年特別 問64,2021/8/31
40,○,テクノロジ系,技術要素,セキュリティ,平成23年特別 問42,2021/8/31
41,×,テクノロジ系,開発技術,システム開発技術,平成23年特別 問46,2021/8/31
42,○,テクノロジ系,基礎理論,基礎理論,平成23年特別 問3,2021/8/31
