No.,中分類,出典,分野名,大分類,学習日,正誤
1,基礎理論,平成22年春期 問1,テクノロジ系,基礎理論,2021/8/31,×
2,基礎理論,平成22年春期 問2,テクノロジ系,基礎理論,2021/8/31,○
3,基礎理論,平成22年春期 問3,テクノロジ系,基礎理論,2021/8/31,×
4,基礎理論,平成22年春期 問4,テクノロジ系,基礎理論,2021/8/31,○
5,アルゴリズムとプログラミング,平成22年春期 問5,テクノロジ系,基礎理論,2021/8/31,×
6,アルゴリズムとプログラミング,平成22年春期 問6,テクノロジ系,基礎理論,2021/8/31,×
7,アルゴリズムとプログラミング,平成22年春期 問7,テクノロジ系,基礎理論,2021/8/31,○
8,アルゴリズムとプログラミング,平成22年春期 問8,テクノロジ系,基礎理論,2021/8/31,×
9,コンピュータ構成要素,平成22年春期 問9,テクノロジ系,コンピュータシステム,2021/8/31,×
10,コンピュータ構成要素,平成22年春期 問10,テクノロジ系,コンピュータシステム,2021/8/31,○
11,コンピュータ構成要素,平成22年春期 問11,テクノロジ系,コンピュータシステム,2021/8/31,×
12,コンピュータ構成要素,平成22年春期 問12,テクノロジ系,コンピュータシステム,2021/8/31,○
13,コンピュータ構成要素,平成22年春期 問13,テクノロジ系,コンピュータシステム,2021/8/31,×
14,システム構成要素,平成22年春期 問14,テクノロジ系,コンピュータシステム,2021/8/31,×
15,システム構成要素,平成22年春期 問15,テクノロジ系,コンピュータシステム,2021/8/31,○
16,システム構成要素,平成22年春期 問16,テクノロジ系,コンピュータシステム,2021/8/31,○
17,システム構成要素,平成22年春期 問17,テクノロジ系,コンピュータシステム,2021/8/31,○
18,ソフトウェア,平成22年春期 問18,テクノロジ系,コンピュータシステム,2021/8/31,×
19,ソフトウェア,平成22年春期 問19,テクノロジ系,コンピュータシステム,2021/8/31,×
20,ソフトウェア,平成22年春期 問20,テクノロジ系,コンピュータシステム,2021/8/31,×
21,ソフトウェア,平成22年春期 問21,テクノロジ系,コンピュータシステム,2021/8/31,○
22,基礎理論,平成22年春期 問22,テクノロジ系,基礎理論,2021/8/31,○
23,ハードウェア,平成22年春期 問23,テクノロジ系,コンピュータシステム,2021/8/31,○
24,コンピュータ構成要素,平成22年春期 問24,テクノロジ系,コンピュータシステム,2021/8/31,○
25,ハードウェア,平成22年春期 問25,テクノロジ系,コンピュータシステム,2021/8/31,×
